lon,lat,dep,idx
403919.5272,4326340.197,2.700000048,1420
403963.5701,4326358.238,2.224400043,1421
404012.5012,4326377.865,0.775849998,1422
404069.481,4326391.966,0.300000012,1423
403814.3243,4326286.081,3.962330103,1433
403873.454,4326308.187,3.2348001,1434
403875.8831,4326365.721,2.816869974,1436
403929.9623,4326386.507,2.518100023,1437
403894.7955,4326389.065,2.400000095,1438
404026.1597,4326408.704,1.335579991,1439
403760.3515,4326267.042,4.109399796,1450
403775.2594,4326313.698,4.398600101,1451
403824.8332,4326334.192,3.900850058,1452
403823.7219,4326384.081,3.8125,1453
403851.5541,4326412.794,2.950989962,1454
403815.5415,4326396.159,2.747900009,1455
403939.0283,4326422.964,2.646420002,1456
403988.7543,4326437.441,2.200000048,1457
404040.6687,4326454.092,1.669880033,1458
403710.5132,4326256.595,2.648010015,1469
403728.836,4326301.488,3.110399961,1470
403740.1414,4326348.292,3.114020109,1471
403780.5227,4326360.81,4.664710045,1472
403781.9219,4326404.654,4.92166996,1473
403803.6914,4326422.174,3.933880091,1474
403825.3847,4326455.765,3.440449953,1475
403859.3663,4326469.179,3.02519989,1476
403898.0824,4326444.057,2.670799971,1477
403948.3507,4326473.024,2.400000095,1478
403998.0412,4326479.869,2.400000095,1479
404036.3523,4326501.554,2.199029922,1480
403657.2083,4326240.305,0.810119987,1490
403679.8178,4326287.772,1.167520046,1491
403695.8399,4326334.521,1.008059978,1492
403707.2812,4326375.334,0.643999994,1493
403742.0238,4326400.956,3.349600077,1494
403756.3015,4326434.623,4.541699886,1495
403783.9719,4326468.012,4.242400169,1496
403902.7812,4326514.6,3.345540047,1497
403943.6383,4326537.872,2.700000048,1498
403982.8406,4326508.107,2.504899979,1499
404019.145,4326535.009,2.400000095,1500
404065.8019,4326541.067,2.400000095,1501
403903.8395,4326251.573,1.744179964,1502
403939.5989,4326235.578,0.300000012,1503
403608.889,4326246.589,0.300000012,1510
403636.0171,4326286.637,0.300000012,1511
403654.7389,4326332.798,0.300000012,1512
403664.4189,4326382.27,0.300000012,1513
403700.3258,4326411.748,0.301400006,1514
403710.9892,4326435.969,1.113739967,1515
403734.2651,4326482.343,4.254559994,1516
403856.9458,4326530.263,4.043200016,1517
403900.3193,4326562.861,2.980269909,1518
403944.3578,4326590.522,2.700000048,1519
403984.1792,4326563.586,2.622070074,1520
404031.142,4326582.6,2.41260004,1521
404072.794,4326600.721,2.321399927,1522
403949.7845,4326284.389,0.300000012,1523
403664.9544,4326419.277,0.320606411,1528
403664.8701,4326454.021,0.748189986,1529
403694.0566,4326475.309,2.8131001,1530
403781.4155,4326535.087,3.692490101,1531
403817.4008,4326556.746,4.035309792,1532
403858.4307,4326585.502,3.534120083,1533
403901.8678,4326614.151,2.953299999,1534
403965.7768,4326295.267,2.825949907,1535
403992.8588,4326612.778,2.700000048,1536
404038.6439,4326635.649,2.051739931,1537
403961.9648,4326332.854,0.300000012,1538
403630.9668,4326432.789,0.300000012,1543
403625.2748,4326476.742,2.535959959,1544
403741.1376,4326516.632,2.875699997,1545
403743.8889,4326565.946,2.912290096,1546
403781.1435,4326589.366,3.493839979,1547
403819.2684,4326613.279,3.661900043,1548
404024.2993,4326641.248,3.180599928,1549
404071.8324,4326663.17,3,1550
404003.8244,4326323.464,2.437040091,1551
404014.8874,4326275.049,1.778429985,1552
404063.662,4326256.958,0.300000012,1553
403586.0165,4326445.077,0.300000012,1558
403587.0921,4326493.297,1.417199969,1559
403698.9668,4326545.504,2.700000048,1560
403708.0054,4326597.952,2.700000048,1561
403744.6172,4326620.505,2.945790052,1562
403946.0368,4326646.713,3.409790039,1563
403983.8765,4326669.172,3.296700001,1564
404029.0336,4326687.306,3,1565
404073.7533,4326710.003,2.710999966,1566
404040.7491,4326354.581,0.300000012,1567
404052.6591,4326305.55,0.300000012,1568
403595.9897,4326365.984,0.300000012,1572
403643.1218,4326542.997,1.41952002,1573
403662.8823,4326583.608,2.700000048,1574
403672.1308,4326631.866,2.700000048,1575
403873.5016,4326658.154,2.768630028,1576
403911.0458,4326673.408,3.104099989,1577
403940.4142,4326702.087,3.400000095,1578
403988.6921,4326715.097,3.299999952,1579
404032.3375,4326735.713,2.417720079,1580
404072.6656,4326757.931,0.300000012,1581
403596.9244,4326526.572,0.300000012,1586
403608.1663,4326577.325,1.127799988,1587
403626.6901,4326616.121,2.336400032,1588
403801.0788,4326665.566,2.599999905,1589
403838.2964,4326698.659,2.5,1590
403885.0774,4326710.282,2.977499962,1591
403911.1875,4326746.233,3.388600111,1592
403956.1274,4326749.343,3.400000095,1593
403994.8109,4326766.572,2.132119894,1594
403975.2274,4326778.665,0.300000012,1595
403697.1384,4326589.254,0.300000012,1600
403703.4035,4326640.489,1.565780044,1601
403760.8349,4326650.9,2.700000048,1602
403759.4369,4326695.492,2.614120007,1603
403796.5112,4326715.363,2.426150084,1604
403815.963,4326756.48,2.534499884,1605
403860.4448,4326752.652,2.892999887,1606
403921.0529,4326783.16,3.400000095,1607
403959.6138,4326777.519,3.400000095,1608
403991.6611,4326794.108,2.757999897,1609
404027.076,4326812.859,0.300000012,1610
403662.3218,4326625.276,0.369500011,1614
403655.2053,4326665.8,2.271929979,1615
403720.6693,4326670.712,2.527920008,1616
403718.0699,4326721.122,2.483550072,1617
403761.0356,4326750.544,2.400000095,1618
403819.3385,4326792.528,2.535300016,1619
403870.8008,4326796.463,2.937319994,1620
403907.8455,4326824.073,3.451740026,1621
403948.0436,4326825.356,3.500279903,1622
403984.4737,4326840.517,1.703920007,1623
404011.593,4326857.508,0.300000012,1624
403615.7831,4326630.559,0.300000012,1628
403612.5513,4326685.853,0.686200023,1629
403677.9192,4326694.767,2.385750055,1630
403666.284,4326742.711,2.478300095,1631
403706.3609,4326767.264,2.416680098,1632
403772.259,4326787.163,2.400000095,1633
403781.0361,4326836.196,2.700000048,1634
403834.0603,4326841.412,2.799999952,1635
403875.6666,4326846.151,3.038229942,1636
403912.9861,4326869.464,3.524800062,1637
403951.1126,4326876.071,3.618809938,1638
403991.3713,4326886.868,1.295040011,1639
404033.0514,4326893.408,0.300000012,1640
403579.0855,4326660.057,0.300000012,1644
403628.4325,4326710.659,1.059999943,1646
403617.8139,4326758.856,1.635820031,1647
403656.617,4326791.268,2.400000095,1648
403729.7675,4326806.949,2.5,1649
403732.9635,4326849.765,2.590600014,1650
403759.0012,4326887.759,2.700000048,1651
403808.411,4326883.529,2.700000048,1652
403867.6088,4326892.065,3.248039961,1653
403863.7105,4326918.226,3.654360056,1654
403909.2045,4326924.271,2.942980051,1655
403960.9268,4326927.779,1.356840014,1656
404017.5402,4326919.411,0.300000012,1657
403578.7847,4326730.66,0.300000012,1661
403609.6675,4326806.839,1.640740037,1663
403683.14,4326835.449,2.395800114,1664
403706.4499,4326885.611,2.544500113,1665
403672.0305,4326931.127,2.5,1666
403724.3617,4326931.714,2.658979893,1667
403775.3659,4326928.711,2.700000048,1668
403830.7616,4326947.336,3.400000095,1669
403886.3524,4326965.64,3.316800117,1670
403937.1128,4326963.038,2.393870115,1671
403991.9397,4326961.448,1.468050003,1672
404044.0108,4326962.461,0.300000012,1673
403634.5606,4326842.16,1.285390019,1678
403656.647,4326882.796,1.672749996,1679
403620.3983,4326929.394,1.297600031,1680
403647.2856,4326977.527,1.177000046,1681
403698.8499,4326971.682,2.387959957,1682
403751.1647,4326972.295,2.700000048,1683
403794.46,4326970.415,3.117269993,1684
403769.2761,4327006.957,3.232800007,1685
403802.9873,4326993.899,3.400000095,1686
403832.9807,4327019.629,2.825989962,1687
403870.986,4327007.209,2.501499891,1688
403918.7113,4326999.978,2.200000048,1689
403972.8881,4326999.456,1.104060054,1690
404027.3086,4326998.534,0.300000012,1691
403597.3414,4326868.669,0.300000012,1695
403622.0639,4326912.667,0.300000012,1696
403587.9297,4326959.637,0.300000012,1697
403613.4975,4327002.247,0.300000012,1698
403630.7563,4327019.083,1.250820041,1700
403678.0014,4327010.718,2.473939896,1701
403727.5442,4327013.96,2.932820082,1702
403668.3588,4327061.026,3.36796999,1703
403716.718,4327052.753,3.11461997,1704
403770.4425,4327060.664,2.652100086,1705
403815.4327,4327046.389,2.339400053,1706
403864.2633,4327037.342,1.851780057,1707
403922.7578,4327035.498,0.967920005,1708
403982.1935,4327028.263,0.300000012,1709
403618.3993,4327052.7,2.519190073,1714
403636.1517,4327094.685,2.645119905,1715
403676.2345,4327113.461,3.278980017,1716
403708.0899,4327095.76,3.098999977,1717
403752.4948,4327103.593,2.677599907,1718
403805.1969,4327095.88,2.400000095,1719
403849.398,4327080.977,2.165499926,1720
403900.3668,4327070.342,2.099999905,1721
403962.4889,4327070.232,1.26225996,1722
404023.6461,4327056.325,0.300000012,1723
403593.2451,4327092.082,1.249449968,1726
403609.5272,4327138.404,0.623000026,1728
403644.3895,4327136.913,2.233629942,1729
403673.7963,4327159.761,3.147010088,1730
403716.6232,4327145.192,3.053630114,1731
403754.7496,4327151.8,2.642610073,1732
403792.9337,4327139.087,2.400000095,1733
403841.6993,4327130.148,2.280900002,1734
403885.6478,4327113.737,2.091399908,1735
403930.9231,4327100.916,1.650869966,1736
403973.8873,4327126.496,1.5,1737
404008.4852,4327092.755,1.314810038,1738
404065.0499,4327084.467,0.300000012,1739
403585.1089,4327166.964,0.300000012,1743
403600.5814,4327180.009,0.300000012,1744
403629.3617,4327180.815,1.38132,1745
403659.4422,4327200.634,2.795020103,1746
403700.4427,4327194.832,3.099999905,1747
403740.8758,4327193.807,2.806499958,1748
403782.2014,4327187.471,2.400000095,1749
403826.3863,4327172.595,2.400000095,1750
403881.7629,4327162.413,2.099999905,1751
403924.1066,4327139.025,1.799999952,1752
403942.5077,4327176.099,1.747689962,1753
403996.1865,4327170.628,1.456699967,1754
404029.4472,4327127.548,1.386849999,1755
404060.0483,4326833.298,0.300000012,1756
403594.2599,4327215.383,0.316720009,1762
403629.1044,4327231.224,1.685739994,1763
403675.59,4327235.641,2.832760096,1764
403721.1963,4327237.657,2.752739906,1765
403764.7354,4327235.377,2.585020065,1766
403808.774,4327220.741,2.400000095,1767
403853.8366,4327204.424,2.299999952,1768
403898.3184,4327200.596,2.039210081,1769
403986.4719,4327214.619,1.899999976,1770
404032.2038,4327204.893,1.571699977,1771
404054.9512,4326915.849,1.14981997,1772
404043.0695,4327172.469,1.078600049,1773
404060.2461,4326882.96,0.300000012,1774
403645.2902,4327251.912,2.03399992,1781
403697.3065,4327258.782,2.599999905,1782
403748.3625,4327263.385,2.687809944,1783
403800.4291,4327274.018,2.700000048,1784
403847.72,4327257.887,2.473700047,1785
403894.473,4327238.794,2.400000095,1786
403937.888,4327230.95,2.400000095,1787
403971.8518,4327261.696,2.12477994,1788
404018.5516,4327252.303,1.739199996,1789
404062.1986,4327255.614,1.299990058,1790
403593.5412,4327263.828,1.849040031,1797
403620.5689,4327296.35,2.200000048,1799
403668.9636,4327295.71,2.399189949,1800
403716.3032,4327300.647,2.403079987,1801
403762.6498,4327303.37,2.662760019,1802
403795.996,4327335.13,2.415499926,1803
403838.647,4327307.392,2.400000095,1804
403880.2741,4327281.335,2.400000095,1805
403924.221,4327282.23,2.400000095,1806
403963.6079,4327309.839,2.395529985,1807
404003.4499,4327294.404,1.799559951,1808
404044.8715,4327305.214,1.106690049,1809
404068.0164,4327013.594,0.300000012,1810
403597.1154,4327338.707,2.099999905,1816
403646.5592,4327338.266,2.099999905,1817
403693.5649,4327341.829,2.200000048,1818
403741.7571,4327343.444,2.469909906,1819
403766.7058,4327383.225,2.259799957,1820
403806.4561,4327383.321,2.299999952,1821
403840.9269,4327357.48,2.400000095,1822
403882.096,4327324.485,2.400000095,1823
403922.2409,4327335.469,2.400000095,1824
403964.3421,4327358.62,2.400000095,1825
404004.0202,4327339.609,1.843179941,1826
404038.1983,4327356.545,1.431110024,1827
404075.5726,4327352.853,0.300000012,1828
403576.3306,4327384.371,2.099999905,1834
403623.586,4327381.757,2.099999905,1835
403671.0956,4327384.492,2.099999905,1836
403719.5892,4327387.535,2.200000048,1837
403744.1891,4327429.811,2.099999905,1838
403789.7837,4327422.233,2.153290033,1839
403841.7439,4327409.97,2.400000095,1840
403882.7164,4327373.453,2.400000095,1841
403924.8946,4327384.943,2.400000095,1842
403965.0749,4327403.559,2.11841011,1843
404006.0415,4327393.968,2.115200043,1844
404049.7623,4327399.079,1.027250052,1845
403628.671,4327957.504,1.782600045,1852
403596.0277,4327428.931,2.099999905,1853
403643.8771,4327427.264,2.099999905,1854
403693.94,4327429.652,2.099999905,1855
403663.6484,4327482.113,2.099999905,1856
403715.3855,4327481.752,2.099999905,1857
403758.2198,4327465.249,2.20175004,1858
403799.6163,4327474.177,2.400000095,1859
403888.7851,4327421.166,2.400000095,1860
403935.1435,4327433.482,2.400000095,1861
403982.2984,4327444.49,2.34739995,1862
404025.2686,4327443.144,2,1863
404072.224,4327442.944,0.995549977,1864
404074.751,4327741.728,0.300000012,1865
403587.1075,4327979.611,0.698440015,1871
403600.2385,4328140.356,1.238710046,1872
403599.4063,4328015.97,1.957030058,1873
